category_name,total_products,avg_price,avg_stars,total_reviews,total_bought_last_month,avg_popularity_score,best_seller_count
Girls' Clothing,28619,24.657649463643036,3.89684125930326,10866752.0,395700.0,14.757279960222247,140
Boys' Clothing,24660,25.378159772911598,3.912291159772912,4195649.0,326000.0,6.646996458457574,101
Toys & Games,20846,29.751485656720714,4.191442003262017,10020872.0,5858000.0,8.517062358337704,240
Men's Shoes,19822,93.59506356573505,3.9727625870245187,3294939.0,275550.0,2.608094039103045,54
Women's Handbags,18994,55.8504238180478,3.8467937243340002,6322447.0,527400.0,14.301082458577183,14
Girls' Jewelry,18514,24.043343955925245,3.8203143567030358,3625806.0,240750.0,14.032157883528498,24
Men's Clothing,18258,45.008090699967134,4.241948734801183,1545329.0,1363000.0,1.5436444170379073,117
Men's Accessories,17679,42.724540980824706,4.238367554725946,511298.0,1223350.0,2.0694622539918246,57
Women's Clothing,17393,35.17783706088656,4.183384120048296,0.0,2797000.0,0.17966998217673777,164
Women's Jewelry,17005,31.25986356953837,4.245080858571009,0.0,1773300.0,0.1112202293443105,59
Travel Accessories,16160,20.19306868811881,3.8376856435643565,0.0,680900.0,0.043991336633663364,15
Women's Shoes,15626,75.61294317163703,3.915979777294253,0.0,389800.0,0.029809292205298862,38
Home Storage & Organization,15437,52.747358942799764,4.264112197965926,0.0,5356200.0,0.362389065232882,119
Women's Accessories,13921,33.361333237554774,4.180884993894117,0.0,1020500.0,0.08020257165433518,48
Men's Watches,12839,123.17478308279462,3.8607134512033645,0.0,175300.0,0.014899914323545448,8
Girls' Shoes,10938,37.136349424026335,3.7110074968001463,0.0,96200.0,0.015011885170963612,34
Boys' Jewelry,10868,15.893606919396394,3.5334376150165627,3596.0,54900.0,0.04485643998981543,6
Backpacks,9580,52.03481732776618,3.823204592901879,0.0,122600.0,0.013632567849686847,4
"Foot, Hand & Nail Care Products",9535,13.476653382275826,4.217482957524908,14086149.0,3379300.0,23.764528338837575,88
Sports & Outdoor Play Toys,9485,29.980779124934106,4.206863468634686,7147804.0,1220650.0,21.420975459160275,39
Office Electronics,9480,109.82404957805907,4.205189873417721,7186663.0,1786850.0,20.996161435844396,35
Automotive Performance Parts & Accessories,9418,106.93261308133361,4.192259503079209,0.0,27350.0,0.017132087492036527,67
Automotive Tires & Wheels,9396,42.14353022562793,4.098190719455087,3764841.0,720000.0,17.471766656273353,54
Industrial Hardware,9364,18.93943934216147,3.912911149081589,1660055.0,104100.0,13.90082468360691,24
"Painting, Drawing & Art Supplies",9346,17.507766959126897,4.429445752193452,0.0,2092300.0,0.2358549111919538,56
Light Bulbs,9254,22.77284309487789,4.246444780635401,5220932.0,28600.0,20.026500363035765,6
Headphones & Earbuds,9242,52.72419497944168,3.71090673014499,9563968.0,34150.0,16.275122553593302,3
"Lights, Bulbs & Indicators",9238,42.03855055206755,4.22669408962979,0.0,608250.0,0.07536804503139208,44
"Industrial Adhesives, Sealants & Lubricants",9085,29.613515685195374,3.67558613098514,2245412.0,266200.0,13.52332555758997,6
Baby & Toddler Toys,9020,20.936518847006653,4.239523281596452,6698481.0,1475250.0,19.027000604184515,16
Cat Supplies,8950,27.686855865921785,4.163821229050279,10573445.0,1858700.0,21.56961673031847,38
Portable Audio & Video,8859,48.947308951348916,4.268687210746134,0.0,167400.0,0.03018399367874478,50
Baby Boys' Clothing & Shoes,8858,18.369293294197337,4.294005418830436,0.0,347550.0,0.05255701061187627,59
Televisions & Video Products,8823,41.68893573614417,4.313578148022215,13269924.0,104300.0,19.951580444256923,30
Seasonal Décor,8810,26.356758229284903,3.9508626560726445,0.0,728850.0,0.08795119182746879,23
Power Transmission Products,8777,19.689897459268543,3.539876951122251,0.0,37300.0,0.012453002164748775,36
"Hydraulics, Pneumatics & Plumbing",8723,31.14450303794566,4.049375214948985,0.0,65150.0,0.021225495815659752,60
Hair Care Products,8669,20.931388856846233,4.409620486792018,0.0,8012850.0,0.9346925827661784,45
Gift Wrapping Supplies,8664,14.441091874422899,4.214704524469067,0.0,701000.0,0.08160203139427516,3
Car Care,8658,26.792237237237238,3.577003927003927,2839.0,772100.0,0.15079319099057567,31
Abrasive & Finishing Products,8646,24.389736294240112,3.4898681471200557,2808.0,160300.0,0.028515182209014906,17
Party Decorations,8611,13.76761932412031,4.206758796887702,55012.0,1107950.0,0.8259777043903751,4
Bath Products,8600,23.317776744186048,4.40606976744186,0.0,2455350.0,0.29434302325581396,38
Automotive Exterior Accessories,8536,29.45774015932521,4.381490159325211,5939614.0,1069750.0,23.41185560176001,98
Wall Art,8527,20.43133692975255,3.9393456080684888,0.0,187200.0,0.022657441069543805,3
Household Cleaning Supplies,8523,19.480034025577847,4.347976064765928,0.0,6875700.0,0.8189252610583128,52
Lighting & Ceiling Fans,8497,37.00709897610922,4.385594915852654,0.0,327850.0,0.04941155702012475,46
Motorcycle & Powersports,8487,32.29911629551078,4.278237304112172,0.0,408700.0,0.07125014728408154,98
Tablet Accessories,8466,25.88701275690999,4.16599338530593,0.0,7200.0,0.001795416961965509,4
Automotive Interior Accessories,8444,29.206206774040737,4.230305542396968,0.0,1382000.0,0.1743249644718143,45
Computer Components,8443,91.09593627857396,4.1031860713016695,0.0,27550.0,0.006105649650598129,12
Makeup,8402,14.19432397048322,4.219757200666508,14429795.0,4158450.0,16.448994671514285,43
Knitting & Crochet Supplies,8386,16.751799427617456,4.077820176484617,1751795.0,262100.0,9.50199386697208,12
Computers & Tablets,8364,544.3809146341463,3.2415829746532756,0.0,250.0,0.0002690100430416069,1
Needlework Supplies,8355,18.742760023937763,3.87443447037702,0.0,128550.0,0.02017354877318971,20
Bedding,8337,33.057923713566026,4.418579824877054,0.0,2716900.0,0.33883891087921314,54
Dog Supplies,8325,24.79347027027027,4.3540060060060055,0.0,4576650.0,0.5749729729729729,105
Arts & Crafts Supplies,8313,13.458119812342115,4.221737038373632,5101102.0,1346550.0,20.052247427377843,14
Automotive Replacement Parts,8289,24.0317420678007,4.483158402702377,0.0,1809150.0,0.3070515140547714,368
Vacuum Cleaners & Floor Care,8283,45.92725220330798,4.258541591210914,4946208.0,827450.0,11.701169322574454,14
Computer Networking,8250,107.68663757575757,3.3224848484848484,0.0,3400.0,0.000896969696969697,2
Beading & Jewelry Making,8246,15.615846471016251,4.3719257821974296,473797.0,1099750.0,5.102295412917418,26
Sewing Products,8198,14.96713466699195,4.423981458892413,0.0,1509950.0,0.20370212246889485,80
Automotive Tools & Equipment,8195,48.97687736424649,4.404136668700427,7981819.0,1681750.0,24.899381167737932,149
Home Décor Products,8189,20.194154353400904,4.423153010135548,17372441.0,4073350.0,27.41100647117,133
Cutting Tools,8146,27.051113429904248,4.211772649152958,0.0,215400.0,0.03896390866683035,51
Wearable Technology,8089,30.73299048089999,4.042873037458277,2653222.0,20400.0,11.860353242875433,4
Skin Care Products,8074,20.736742630666335,4.454074808025761,1065373.0,6612150.0,4.873450777056606,25
Commercial Door Products,8066,23.76827919662782,3.370518224646665,0.0,21750.0,0.003192412596082321,2
Toy Figures & Playsets,7973,22.61880471591622,4.422952464567916,0.0,924550.0,0.11721434842593755,5
Fasteners,7928,15.399776740665994,4.352257820383451,0.0,261200.0,0.050857719475277494,71
Electrical Equipment,7854,25.0045709192768,4.518130888719124,0.0,404900.0,0.06632289279348103,58
Industrial Materials,7839,29.84220436280138,2.25787728026534,264179.0,31400.0,6.109871886774445,33
Pumps & Plumbing Equipment,7794,44.14347959969207,4.233679753656659,0.0,53600.0,0.013548883756735951,26
Games & Accessories,7789,25.669147515727307,4.453780973167287,0.0,1452300.0,0.19236102195403773,23
Craft Supplies & Materials,7778,16.162426073540757,4.457495500128568,0.0,2680850.0,0.37218436616096684,107
Lab & Scientific Products,7694,31.129130491291917,4.085287236807902,0.0,421600.0,0.08494931115154666,116
Craft & Hobby Fabric,7665,19.205487279843442,3.7644487932159163,0.0,46650.0,0.006607958251793869,2
Baby & Toddler Feeding Supplies,7650,24.1994,4.211843137254902,189483.0,1782400.0,2.195165760253407,29
Shaving & Hair Removal Products,7626,23.820486493574613,4.059533175976921,7610040.0,2180450.0,7.982554834526327,22
Additive Manufacturing Products,7619,53.65927418296364,3.1058931618322614,967991.0,94100.0,10.326350592151968,7
"Arts, Crafts & Sewing Storage",7592,20.6373906743941,3.1521469968387774,0.0,197550.0,0.02839172813487882,9
Kids' Dress Up & Pretend Play,7585,23.84537376400791,3.8886882003955177,0.0,812850.0,0.1095385629531971,9
Welding & Soldering,7563,72.08342853365066,3.856749966944334,184.0,81250.0,0.029679768534240335,8
"Heating, Cooling & Air Quality",7522,56.41300053177347,4.239337942036692,0.0,1441300.0,0.20410795001329432,47
Dolls & Accessories,7521,25.165839648982846,4.292727030979923,0.0,616400.0,0.08355271905331738,6
Novelty Toys & Amusements,7432,16.122595532831003,3.9494886975242194,0.0,700700.0,0.09697255113024758,10
Computers,7409,127.4037359967607,4.075948171143204,385984.0,533550.0,1.2511360724366551,98
Material Handling Products,7407,48.02058593222627,3.812137167544215,0.0,245650.0,0.0455852571891454,46
Building Supplies,7360,48.56785461956522,4.37054347826087,0.0,328750.0,0.06559103260869566,77
Puzzles,7181,20.447489207631246,4.323743211251915,0.0,450600.0,0.06386297173095669,4
Safety & Security,7157,34.17660472264915,4.358641889059662,0.0,1768700.0,0.2619393600670672,53
Fish & Aquatic Pets,7093,24.37039475539264,4.063992668828423,0.0,422650.0,0.06325250246722121,13
Home Appliances,7006,26.441353125892093,4.483999429060805,0.0,2311750.0,0.3470953468455609,60
Party Supplies,6935,14.204445565969719,4.3949963950973325,0.0,2316150.0,0.33917087238644555,18
"Tricycles, Scooters & Wagons",6890,48.552008708272865,3.8702467343976776,0.0,149800.0,0.028998548621190133,25
Laptop Accessories,6763,38.36785893834097,4.314963773473311,0.0,252350.0,0.038496229483956826,4
Industrial Power & Hand Tools,6743,43.346111523060955,4.459039003410944,0.0,1139200.0,0.19267388402788077,80
Baby Care Products,6676,14.880359496704614,4.129418813660875,351397.0,1326750.0,6.2627531225450195,23
Sports & Fitness,6662,26.740313719603723,4.451996397478235,0.0,4037850.0,0.7511032722906035,483
Security & Surveillance Equipment,6647,98.2610455844742,3.7945539341056116,0.0,19500.0,0.005641642846396871,9
Kids' Furniture,6568,103.36293544457978,3.3504263093788063,2187441.0,219650.0,12.12303192531417,25
Women's Watches,6542,81.70377101803729,3.695628248242128,1715864.0,68700.0,13.142761546120104,3
RV Parts & Accessories,6476,56.09954447189624,4.263619518221124,0.0,332200.0,0.05870907967881408,24
GPS & Navigation,6432,70.54471393034827,3.4633550995024875,0.0,7750.0,0.001204912935323383,0
Building Toys,6398,42.952075648640204,4.281103469834323,0.0,280250.0,0.044115348546420755,1
Vehicle Electronics,6346,101.54562243933186,4.174298770879294,0.0,222300.0,0.05488496690828869,63
"Nursery Furniture, Bedding & Décor",6331,30.60046438161428,4.347859737798136,214483.0,743400.0,0.21093045575553235,28
Packaging & Shipping Supplies,6239,50.151982689533575,2.976518672864241,0.0,205850.0,0.03812309665010418,16
Professional Dental Supplies,6196,23.675555196901225,4.120593931568754,0.0,347850.0,0.06453357004519045,26
"PlayStation 4 Games, Consoles & Accessories",6188,31.132186489980608,4.004928894634777,5769250.0,172250.0,20.140574202141455,19
Camera & Photo,6169,160.57621980872102,4.386869833036148,0.0,85350.0,0.026803371697195655,40
Data Storage,6120,154.19607189542484,3.1018627450980394,0.0,350.0,0.0007107843137254901,2
Beauty Tools & Accessories,6080,15.263208881578947,4.380082236842106,5192395.0,3070700.0,5.386663381719879,46
Small Animal Supplies,6011,24.597574446847446,3.182199301280985,0.0,126500.0,0.027033771419065048,18
Boys' Shoes,5975,39.82546778242678,3.816870292887029,34732.0,39200.0,0.10606367635248494,15
Scrapbooking & Stamping Supplies,5931,15.387750800876749,4.374287641207217,0.0,500500.0,0.09180576631259484,22
Food Service Equipment & Supplies,5921,22.588191183921634,4.52290153690255,0.0,1803250.0,0.3214406350278669,50
Furniture,5829,64.86745582432664,4.336043918339338,1055275.0,883200.0,7.35755131090223,42
Kitchen & Bath Fixtures,5796,61.972565562456865,4.3219806763285025,4465.0,463450.0,0.1539680712952255,54
"Nintendo Switch Consoles, Games & Accessories",5761,29.83188335358445,3.9776080541572645,691337.0,171800.0,4.5594640804443625,2
Printmaking Supplies,5734,78.23350366236484,3.4164980816184167,791997.0,145050.0,11.166828545674033,11
Filtration,5704,64.93381486676016,3.1725981767180924,0.0,77650.0,0.01957398316970547,17
